epoch,accuracy,loss,precision,recall,F1-Score
0.0,0.49693251533742333,0.6931614279747009,0.0,0.0,0.0
1.0,0.5030674846625767,0.6931230902671814,0.49484508547008543,1.0,0.6606069478176965
2.0,0.5030674846625767,0.6923685550689698,0.5013421474358974,1.0,0.6673029929725031
3.0,0.5030674846625767,0.6469522595405579,0.5050547542735042,1.0,0.6709929022953596
4.0,0.6538124452234881,0.6219878435134888,0.9226458734031733,0.34179164365357184,0.4981972468043473
5.0,0.6450482033304119,0.6295682549476623,0.9579130172153428,0.3036514438710229,0.4598555007272115
6.0,0.708150744960561,0.5865854740142822,0.8733570211751477,0.49351842553060765,0.6287747782925448
7.0,0.663453111305872,0.6046919584274292,0.6912723403721917,0.6055308176359384,0.6452466192736213
8.0,0.6967572304995618,0.5940023422241211,0.7534266826053809,0.5911790345428789,0.6624294168057413
9.0,0.7028921998247152,0.5938084959983826,0.7802341861702917,0.5578366012613241,0.6471844229701622
