accuracy,fpr,tpr,snr,buffer
0.72,0.2818,0.7219,10.0,512
0.72,0.2723,0.7125,60.0,512
0.9686,0.0,0.9296,0.0,8192
0.6885,0.2532,0.6312,60.0,128
0.6901,0.2659,0.6469,10.0,128
0.7114,0.2611,0.6844,20.0,256
0.7129,0.2962,0.7219,3.0,512
0.6759,0.293,0.6453,3.0,128
0.7524,0.3105,0.8141,3.0,2048
0.7453,0.2866,0.7766,3.0,1024
0.6885,0.2532,0.6312,0.0,128
0.72,0.2723,0.7125,0.0,512
0.7461,0.2866,0.7781,10.0,1024
0.7532,0.3105,0.8156,10.0,2048
0.7532,0.3105,0.8156,60.0,2048
0.9245,0.0,0.831,0.0,4096
0.7476,0.2882,0.7828,20.0,1024
0.7532,0.3105,0.8156,20.0,2048
0.7461,0.2882,0.7797,60.0,1024
0.7145,0.2516,0.6813,0.0,256
0.9686,0.0,0.9296,60.0,8192
0.9686,0.0,0.9296,20.0,8192
0.9182,0.0,0.8169,3.0,4096
0.9686,0.0,0.9296,10.0,8192
0.9245,0.0,0.831,10.0,4096
0.7216,0.2707,0.7141,20.0,512
0.9686,0.0,0.9296,3.0,8192
0.7161,0.2468,0.6797,10.0,256
0.7145,0.2516,0.6813,60.0,256
0.6924,0.2596,0.6453,20.0,128
0.9245,0.0,0.831,20.0,4096
0.7461,0.2882,0.7797,0.0,1024
0.9245,0.0,0.831,60.0,4096
0.6979,0.3344,0.7297,3.0,256
0.7532,0.3105,0.8156,0.0,2048
